,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex
35,1,1,2.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,55 - 64 Years,< 12 Years,Female
36,0,1,2.0,2.0,1.0,0.0,4.0,2.0,1.0,4.0,2.0,1.0,45 - 54 Years,Higher Education,Female
37,0,0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,45 - 54 Years,Higher Education,Female
38,1,1,1.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,65+ Years,Higher Education,Male
39,0,1,2.0,1.0,1.0,0.0,5.0,4.0,2.0,5.0,4.0,2.0,65+ Years,< 12 Years,Female
40,0,0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,5.0,2.0,1.0,45 - 54 Years,Higher Education,Male
41,1,1,2.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,55 - 64 Years,Higher Education,Female
42,0,0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,5.0,55 - 64 Years,>= 12 years,Male
43,1,1,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,18 - 34 Years,Higher Education,Male
44,0,0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,55 - 64 Years,Higher Education,Female
45,0,0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,18 - 34 Years,Higher Education,Female
46,1,1,1.0,2.0,0.0,0.0,5.0,2.0,1.0,5.0,1.0,1.0,55 - 64 Years,>= 12 years,Female
47,1,0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,5.0,1.0,2.0,18 - 34 Years,Higher Education,Male
48,1,1,3.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,45 - 54 Years,Higher Education,Female
49,1,1,1.0,1.0,0.0,1.0,5.0,4.0,2.0,5.0,4.0,1.0,18 - 34 Years,Higher Education,Female
50,0,0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,4.0,2.0,1.0,45 - 54 Years,Higher Education,Male
51,0,1,0.0,1.0,1.0,0.0,4.0,1.0,1.0,5.0,4.0,1.0,55 - 64 Years,Higher Education,Female
52,0,0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,45 - 54 Years,Higher Education,Male
53,0,1,1.0,2.0,0.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,55 - 64 Years,Higher Education,Male
54,0,0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,18 - 34 Years,Higher Education,Female
55,0,0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,55 - 64 Years,Higher Education,Female
56,0,1,2.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,65+ Years,>= 12 years,Female
57,1,1,3.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,4.0,1.0,55 - 64 Years,< 12 Years,Male
58,0,0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,45 - 54 Years,Higher Education,Female
59,0,1,3.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,35 - 44 Years,Higher Education,Female
60,1,1,3.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,45 - 54 Years,Higher Education,Female
61,0,1,3.0,2.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,5.0,45 - 54 Years,Higher Education,Male
62,0,0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,2.0,35 - 44 Years,>= 12 years,Male
63,0,1,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,18 - 34 Years,>= 12 years,Male
64,0,0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,45 - 54 Years,Higher Education,Female
65,0,0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,55 - 64 Years,Higher Education,Female
66,0,0,2.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,18 - 34 Years,>= 12 years,Male
67,1,1,2.0,2.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,2.0,35 - 44 Years,Higher Education,Male
68,0,1,1.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,4.0,65+ Years,>= 12 years,Female
69,0,0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,65+ Years,Higher Education,Female
70,0,0,2.0,1.0,1.0,0.0,4.0,1.0,5.0,5.0,2.0,5.0,18 - 34 Years,Higher Education,Male
71,0,1,3.0,1.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,65+ Years,< 12 Years,Female
72,0,1,1.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,1.0,65+ Years,< 12 Years,Male
73,0,1,3.0,2.0,1.0,0.0,5.0,2.0,4.0,5.0,5.0,1.0,65+ Years,Higher Education,Female
74,1,1,2.0,1.0,0.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,18 - 34 Years,Higher Education,Female
75,1,1,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,45 - 54 Years,Higher Education,Male
76,0,0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,5.0,4.0,2.0,55 - 64 Years,Higher Education,Male
77,0,1,1.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,5.0,4.0,35 - 44 Years,>= 12 years,Female
78,0,1,0.0,1.0,0.0,0.0,5.0,2.0,1.0,5.0,2.0,1.0,65+ Years,Higher Education,Male
79,0,1,3.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,65+ Years,< 12 Years,Male
80,0,0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,45 - 54 Years,>= 12 years,Male
81,0,1,3.0,1.0,1.0,0.0,4.0,2.0,2.0,5.0,2.0,1.0,55 - 64 Years,Higher Education,Female
82,1,1,2.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,18 - 34 Years,Higher Education,Female
83,0,1,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,45 - 54 Years,Higher Education,Female
84,0,1,2.0,2.0,0.0,0.0,5.0,4.0,1.0,5.0,4.0,1.0,65+ Years,>= 12 years,Female
85,1,1,2.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,4.0,55 - 64 Years,>= 12 years,Female
86,0,0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,2.0,45 - 54 Years,< 12 Years,Male
87,0,0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,18 - 34 Years,>= 12 years,Female
88,0,1,1.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,65+ Years,>= 12 years,Female
89,0,0,2.0,1.0,0.0,0.0,4.0,1.0,4.0,4.0,2.0,4.0,18 - 34 Years,Higher Education,Female
90,0,1,1.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,18 - 34 Years,Higher Education,Female
91,0,1,2.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,18 - 34 Years,>= 12 years,Female
92,0,0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,18 - 34 Years,>= 12 years,Male
93,0,1,2.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,2.0,18 - 34 Years,Higher Education,Male
94,0,0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0,35 - 44 Years,Higher Education,Female
95,0,0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,5.0,2.0,4.0,18 - 34 Years,Higher Education,Female
96,0,1,3.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,5.0,2.0,65+ Years,Higher Education,Female
97,0,1,2.0,2.0,1.0,0.0,5.0,2.0,1.0,5.0,4.0,1.0,45 - 54 Years,Higher Education,Male
98,0,0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,5.0,18 - 34 Years,Higher Education,Female
99,0,1,2.0,0.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,2.0,65+ Years,< 12 Years,Male
100,0,0,2.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,18 - 34 Years,>= 12 years,Female
101,0,1,1.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,5.0,1.0,45 - 54 Years,Higher Education,Female
102,0,1,2.0,2.0,1.0,0.0,3.0,5.0,1.0,5.0,2.0,4.0,65+ Years,Higher Education,Male
103,0,0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,45 - 54 Years,>= 12 years,Male
104,0,0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,65+ Years,Higher Education,Female
105,0,0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0,2.0,1.0,35 - 44 Years,Higher Education,Female
106,0,0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,18 - 34 Years,Higher Education,Female
107,1,1,2.0,1.0,1.0,0.0,5.0,4.0,1.0,5.0,4.0,1.0,45 - 54 Years,Higher Education,Male
108,0,0,3.0,2.0,1.0,0.0,5.0,2.0,1.0,2.0,2.0,1.0,35 - 44 Years,Higher Education,Female
109,0,0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,65+ Years,>= 12 years,Female
110,1,1,2.0,2.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,55 - 64 Years,Higher Education,Female
111,0,0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,45 - 54 Years,Higher Education,Male
112,1,1,3.0,2.0,1.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,55 - 64 Years,>= 12 years,Female
113,0,0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,1.0,35 - 44 Years,>= 12 years,Male
114,0,1,1.0,1.0,1.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,35 - 44 Years,Higher Education,Female
115,0,0,3.0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,65+ Years,< 12 Years,Female
116,1,1,2.0,1.0,0.0,0.0,4.0,2.0,1.0,5.0,2.0,2.0,55 - 64 Years,>= 12 years,Female
117,0,0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,2.0,2.0,55 - 64 Years,>= 12 years,Male
118,0,1,0.0,2.0,1.0,0.0,3.0,1.0,1.0,4.0,2.0,2.0,45 - 54 Years,Higher Education,Female
119,0,1,3.0,2.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,35 - 44 Years,Higher Education,Male
120,0,0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,1.0,35 - 44 Years,>= 12 years,Female
121,1,0,1.0,1.0,0.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,55 - 64 Years,Higher Education,Male
122,1,1,2.0,2.0,1.0,0.0,5.0,4.0,1.0,5.0,5.0,1.0,65+ Years,< 12 Years,Female
123,0,1,3.0,2.0,1.0,0.0,5.0,2.0,2.0,5.0,3.0,2.0,65+ Years,Higher Education,Male
124,0,0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,18 - 34 Years,Higher Education,Male
125,0,1,2.0,1.0,1.0,0.0,4.0,3.0,2.0,4.0,3.0,1.0,35 - 44 Years,Higher Education,Female
126,0,0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,4.0,4.0,2.0,55 - 64 Years,>= 12 years,Male
127,1,1,0.0,2.0,1.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,45 - 54 Years,Higher Education,Female
128,1,1,3.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,65+ Years,>= 12 years,Female
129,0,0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,4.0,4.0,2.0,45 - 54 Years,Higher Education,Female
130,0,0,2.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,55 - 64 Years,Higher Education,Male
131,0,1,3.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,55 - 64 Years,Higher Education,Female
132,0,0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,2.0,5.0,35 - 44 Years,Higher Education,Male
133,0,1,0.0,1.0,1.0,0.0,4.0,1.0,4.0,5.0,4.0,1.0,65+ Years,Higher Education,Male
134,0,1,2.0,2.0,0.0,0.0,5.0,1.0,2.0,5.0,2.0,2.0,65+ Years,Higher Education,Female
135,0,1,3.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,65+ Years,>= 12 years,Female
136,1,1,3.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,65+ Years,Higher Education,Male
137,0,0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,5.0,2.0,2.0,55 - 64 Years,Higher Education,Male
138,0,1,3.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,65+ Years,Higher Education,Female
139,0,0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,18 - 34 Years,< 12 Years,Female
140,1,1,2.0,2.0,1.0,0.0,5.0,2.0,1.0,5.0,4.0,1.0,55 - 64 Years,Higher Education,Female
141,0,0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,55 - 64 Years,Higher Education,Male
142,0,0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0,55 - 64 Years,>= 12 years,Female
143,0,0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,2.0,35 - 44 Years,Higher Education,Female
144,0,0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,45 - 54 Years,Higher Education,Female
145,0,0,0.0,2.0,1.0,0.0,5.0,1.0,3.0,4.0,1.0,5.0,65+ Years,Higher Education,Female
146,0,1,2.0,1.0,1.0,0.0,5.0,4.0,1.0,5.0,4.0,1.0,45 - 54 Years,Higher Education,Female
147,0,1,2.0,1.0,1.0,1.0,3.0,5.0,2.0,4.0,5.0,2.0,65+ Years,Higher Education,Female
148,0,1,1.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,55 - 64 Years,Higher Education,Male
149,0,0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,18 - 34 Years,< 12 Years,Male
150,0,0,3.0,1.0,0.0,0.0,5.0,2.0,4.0,4.0,2.0,4.0,35 - 44 Years,Higher Education,Female
151,1,1,2.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,65+ Years,Higher Education,Male
152,0,1,1.0,1.0,0.0,1.0,4.0,2.0,4.0,4.0,4.0,1.0,45 - 54 Years,Higher Education,Female
153,0,1,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,4.0,4.0,45 - 54 Years,Higher Education,Male
154,0,0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,65+ Years,Higher Education,Female
155,0,1,2.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,2.0,35 - 44 Years,Higher Education,Female
156,0,0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,45 - 54 Years,>= 12 years,Male
157,0,0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,45 - 54 Years,>= 12 years,Male
158,1,1,2.0,2.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,55 - 64 Years,Higher Education,Female
159,1,1,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,18 - 34 Years,>= 12 years,Female
160,0,1,0.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,65+ Years,Higher Education,Female
161,0,0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,35 - 44 Years,Higher Education,Female
162,1,0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,35 - 44 Years,Higher Education,Male
163,0,0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,2.0,1.0,18 - 34 Years,< 12 Years,Male
164,0,1,1.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,2.0,65+ Years,Higher Education,Male
165,0,0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,5.0,35 - 44 Years,>= 12 years,Female
166,0,0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,35 - 44 Years,Higher Education,Female
167,1,1,2.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,1.0,1.0,55 - 64 Years,>= 12 years,Female
168,1,1,0.0,2.0,0.0,0.0,5.0,5.0,2.0,5.0,5.0,1.0,45 - 54 Years,< 12 Years,Male
169,0,0,2.0,1.0,1.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,55 - 64 Years,Higher Education,Male
170,0,0,3.0,0.0,1.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,18 - 34 Years,>= 12 years,Male
171,0,1,1.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,2.0,4.0,35 - 44 Years,Higher Education,Female
172,1,1,3.0,2.0,1.0,0.0,5.0,1.0,2.0,5.0,4.0,2.0,55 - 64 Years,Higher Education,Female
173,0,0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,1.0,18 - 34 Years,>= 12 years,Male
174,0,0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,1.0,18 - 34 Years,Higher Education,Female
175,0,1,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,65+ Years,Higher Education,Female
176,0,0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,18 - 34 Years,Higher Education,Male
177,0,1,2.0,2.0,1.0,0.0,4.0,4.0,4.0,5.0,4.0,1.0,18 - 34 Years,Higher Education,Female
178,1,0,3.0,0.0,1.0,0.0,5.0,5.0,2.0,5.0,4.0,5.0,35 - 44 Years,< 12 Years,Female
179,1,0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,35 - 44 Years,Higher Education,Female
180,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,45 - 54 Years,Higher Education,Male
181,0,0,3.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,5.0,4.0,45 - 54 Years,>= 12 years,Female
182,0,0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,2.0,2.0,65+ Years,Higher Education,Female
183,0,0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,35 - 44 Years,Higher Education,Female
184,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,45 - 54 Years,Higher Education,Female
185,1,1,1.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,2.0,65+ Years,>= 12 years,Male
186,0,0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,45 - 54 Years,>= 12 years,Male
187,0,0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,65+ Years,Higher Education,Male
188,0,0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,55 - 64 Years,< 12 Years,Female
189,0,1,3.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,2.0,55 - 64 Years,>= 12 years,Female
190,0,0,2.0,2.0,1.0,0.0,5.0,1.0,4.0,5.0,2.0,4.0,18 - 34 Years,>= 12 years,Female
191,0,0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,45 - 54 Years,>= 12 years,Male
192,1,1,2.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,2.0,18 - 34 Years,< 12 Years,Female
193,0,1,1.0,1.0,0.0,0.0,5.0,2.0,2.0,5.0,5.0,4.0,18 - 34 Years,Higher Education,Female
194,0,0,2.0,1.0,1.0,0.0,3.0,4.0,1.0,4.0,2.0,1.0,55 - 64 Years,Higher Education,Male
195,1,1,2.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,55 - 64 Years,Higher Education,Female
196,1,1,0.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,55 - 64 Years,Higher Education,Male
197,0,0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,18 - 34 Years,< 12 Years,Female
198,1,1,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,55 - 64 Years,Higher Education,Male
199,0,1,1.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,1.0,1.0,18 - 34 Years,Higher Education,Female
200,0,0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,18 - 34 Years,Higher Education,Female
201,0,0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,18 - 34 Years,>= 12 years,Female
202,0,0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,5.0,2.0,1.0,18 - 34 Years,Higher Education,Male
203,1,1,3.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,1.0,1.0,18 - 34 Years,Higher Education,Female
204,1,1,2.0,2.0,1.0,0.0,5.0,4.0,4.0,4.0,4.0,2.0,45 - 54 Years,Higher Education,Male
205,0,0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,5.0,2.0,1.0,35 - 44 Years,Higher Education,Female
206,0,0,0.0,2.0,1.0,0.0,4.0,2.0,1.0,4.0,2.0,2.0,18 - 34 Years,Higher Education,Male
207,0,1,3.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,2.0,55 - 64 Years,< 12 Years,Female
208,0,1,0.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,65+ Years,Higher Education,Female
209,0,1,1.0,2.0,0.0,0.0,5.0,1.0,1.0,5.0,4.0,4.0,55 - 64 Years,Higher Education,Male
210,0,0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,5.0,4.0,1.0,45 - 54 Years,>= 12 years,Male
211,1,1,0.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,4.0,35 - 44 Years,>= 12 years,Female
212,0,1,1.0,1.0,0.0,0.0,5.0,2.0,1.0,5.0,4.0,1.0,55 - 64 Years,Higher Education,Male
213,1,1,0.0,2.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,1.0,18 - 34 Years,Higher Education,Female
